equipment_id,version,creation_date,change_date,created_by,changed_by,location,stockroom,assigned_to,tickets,is_parent,is_child,barcode,deleted,operating_system,asset_type,end_of_life_date,serial_number,department,status,manufacturer,model,device_name,currently_logged_in_user,ip_address,mac_address,imei__meid,vendor,purchase_date,po_number,purchase_price,warranty_end_date,cpu,loan_due_date,notes,condition,phone_number,loan_out_date,refresh_eligible,total_storage,memory,available_hdd_mb,last_check_in_date,is_encrypted,is_antivirus_enabled,is_loaner,aws_instance_status,aws_availability_zone,aws_instance_type,aws_security_group,aws_ipv4_dns,aws_region,sophos_antivirus_status,sophos_health_rating,sophos_last_activity,sophos_encryption,sophos_last_user,aws_use_pattern,last_jira_ticket,audit_status,audit_start_date,audit_pass_date,last_audit_pass_date,cost_center,sophos_asset_id,purchase_currency,carbon_black_device_id,carbon_black_anti_virus_status,carbon_black_av_last_scan,carbon_black_bypass,carbon_black_last_activity,carbon_black_last_user,carbon_black_quarantined,carbon_black_status,carbon_black_username,refresh_eligible_date,aws_size_in_gb,aws_attached_status,aws_connected_instance,aws_connected_instance_status,aws_attached_path,aws_ebs_idle_status,aws_last_sync_on,aws_provision_date,department_as_drop_down,aws_credentials,business_criticality,last_connector_change_date,shi_manufacturer,shi_sales_order_number,shi_manufacturing_part_number,shi_quantity_invoiced,shi_ship_date,shi_shipping_name,shi_shipping_address,shi_shipping_city,shi_shipping_state,shi_shipping_postal_code,shi_shipping_country,shi_tracking_info,shi_asset_type,shi_operating_system,shi_maintenance_start,shi_maintenance_end,shi_class,shi_commodity,wo_asset_number,wo_compliance_status,av_epp_status,wo_compromised_status,wo_enrollment_status,wo_id,checked_in_less_than_30_days_ago_1,wo_model,wo_serial_number,wo_username,max_avg_cpu,lifecycle_status,residual,depreciation_cycle,aws_network_interface,legal_hold_1,asset_received,amazon_aws_workspaces_asset_load_workspace_id,workspace_id,tracking_url,refresh_asset_requested,non_editable_date_field,technology_type,technology_status,technology_sub_status,shipping_type,uid
4debf7842ff9481d89e80bd07a445afa,129,1584423775,1722769273,trent.seed@oomnitza-demo.com (trent.seed@oomnitza-demo.com),workflow_runner (workflow_runner),Memphis,,eliezer.bonilla@oomnitza-demo.com (eliezer.bonilla@oomnitza-demo.com),,0,0,1017603,,,Laptop,1705968000,C001249222523,,Deployed,Apple,"Apple MacBook 12"" Retina Display","Apple MacBook 12"" Retina Display",,211.242.163.12,0C:7F:6C:72:61:E2,,CDW,1579737600,P0016603,899.99,1674432000,,,,Good,,,1,,,,1722526588,1,1,0,,,,,,,running,good,1722148779,1,,,,,,,,,C001249222523,USD,31823355,,1722769273,0,1722769273,eliezer.bonilla@oomnitza-demo.com,0,REGISTERED,eliezer.bonilla@oomnitza-demo.com,,0,,,,,,,,,,Low,,,,,,,,,,,,,,,,,,,,,,AV & EPP Protected,,,,1,,,,,Active,170.14,0,,0,0,,,,,,,,,,41802
576adb3b786c40b4a14f9ef9afba0315,123,1584423045,1722769273,trent.seed@oomnitza-demo.com (trent.seed@oomnitza-demo.com),workflow_runner (workflow_runner),Minneapolis,,jaiden.rodriguez@oomnitza-demo.com (jaiden.rodriguez@oomnitza-demo.com),,0,0,1015692,,,Laptop,1707264000,C001249220612,,Deployed,Lenovo,Lenovo Flex 14,Lenovo Flex 14,,106.88.111.85,EA:AD:DE:7B:73:A7,,SHI,1581033600,P0014692,889.99,1675728000,,,,Good,,,1,,,,1719876413,1,1,0,,,,,,,running,good,1722148781,1,,,,,,,,,C001249220612,USD,36467982,,1722769273,0,1722769273,jaiden.rodriguez@oomnitza-demo.com,0,REGISTERED,jaiden.rodriguez@oomnitza-demo.com,,0,,,,,,,,,,Low,,,,,,,,,,,,,,,,,,,,,,AV & EPP Protected,,,,1,,,,,Active,180.44,0,,0,0,,,,,,,,,,39891
0224d797d7794e00a3fb87ae5e5a9269,123,1584422917,1722769273,trent.seed@oomnitza-demo.com (trent.seed@oomnitza-demo.com),workflow_runner (workflow_runner),Sacramento,,atticus.mathis@oomnitza-demo.com (atticus.mathis@oomnitza-demo.com),,0,0,1015357,,,Laptop,1756771200,C001249220277,,Deployed,Dell,Dell XPS 13 7390,Dell XPS 13 7390,,102.34.194.167,C5:87:CF:3A:5C:EA,,SHI,1630540800,P0014357,1149.99,1725235200,,,,Good,,,1,,,,1722526589,1,1,0,,,,,,,running,good,1722148781,1,,,,,,,,,C001249220277,USD,88299640,,1722769273,0,1722769273,atticus.mathis@oomnitza-demo.com,0,REGISTERED,atticus.mathis@oomnitza-demo.com,,0,,,,,,,,,,Low,,,,,,,,,,,,,,,,,,,,,,AV & EPP Protected,,,,1,,,,,Active,834.92,0,,0,0,,,,,,,,,,39556
ab3ca900d1354d4b8ffa34c9076c6661,121,1584425679,1722769272,trent.seed@oomnitza-demo.com (trent.seed@oomnitza-demo.com),workflow_runner (workflow_runner),Santa Barbara,Santa Barbara Stockroom,,,0,0,1022419,,,Laptop,1761609600,C001249227339,,Inventory,Apple,"Apple MacBook 12"" Retina Display","Apple MacBook 12"" Retina Display",,46.5.83.135,86:D0:B7:49:94:17,,Connection,1635379200,P0021419,899.99,1730073600,,,,Fair,,,1,,,,1722526588,1,1,0,,,,,,,running,good,1722148779,1,,,,,,,,,C001249227339,USD,49834825,,1722769272,0,1722769272,None,0,REGISTERED,None,,0,,,,,,,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Active,699.44,0,,0,0,,,,,,,,,,46618
eea24b3039f245199213a049321dd9e8,114,1584421716,1722769272,trent.seed@oomnitza-demo.com (trent.seed@oomnitza-demo.com),workflow_runner (workflow_runner),Kansas City,,,,0,0,1012219,,,Laptop,1685664000,C001249217139,6000 Engineering,Inventory,Lenovo,Lenovo IdeasPad L340,Lenovo IdeasPad L340,,127.181.197.122,57:63:FB:B8:22:98,,Connection,1559433600,P0011219,549.99,1654128000,,,,Fair,,,1,,,,1711973847,1,1,0,,,,,,,running,good,1722148779,1,,,,,,,,,C001249217139,USD,85074826,,1722769272,0,1722769272,None,0,REGISTERED,None,,0,,,,,,,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Active,0.0,0,,0,0,,,,,,,,,,36418
47953d18132b4deea788d04c09915395,130,1584418634,1722769272,trent.seed@oomnitza-demo.com (trent.seed@oomnitza-demo.com),workflow_runner (workflow_runner),Chicago,,,,0,0,1003604,,,Laptop,1682467200,C001249208524,2000 Sales,Inventory,Apple,"Apple Macbook Pro 16""","Apple Macbook Pro 16""",,162.246.194.193,5A:A0:50:64:DB:4E,,Connection,1556236800,P0002604,2199.99,1650931200,,,,Good,,,1,,,,1717357889,1,1,0,,,,,,,running,good,1722148778,1,,,,,,,,,C001249208524,USD,49239780,,1722769272,0,1722769272,None,0,REGISTERED,None,,0,,,,,,,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Active,0.0,0,,0,0,,,,,,,,,,27803
5937fd1c13a54e1db4826cda630a45fa,118,1584426145,1722769271,trent.seed@oomnitza-demo.com (trent.seed@oomnitza-demo.com),workflow_runner (workflow_runner),Los Angeles,,jagger.pace@oomnitza-demo.com (jagger.pace@oomnitza-demo.com),,0,0,1023748,,,Desktop,1696032000,C001249228668,1000 G&A,Out for Repair,Acer,Acer Aspire TC-885-UA92,Acer Aspire TC-885-UA92,,152.88.215.112,99:37:DF:9E:C1:89,,SHI,1569801600,P0022748,479.99,1664496000,,,,Fair,,,1,,,,1722526588,1,1,0,,,,,,,running,good,1722148776,1,,,,,,,,,C001249228668,USD,73848736,,1722769271,0,1722769271,jagger.pace@oomnitza-demo.com,0,REGISTERED,jagger.pace@oomnitza-demo.com,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Active,40.33,0,,0,0,,,,,,,,,,47947
de88810b7431466ea35113df44b4ea72,109,1584424109,1722769271,trent.seed@oomnitza-demo.com (trent.seed@oomnitza-demo.com),workflow_runner (workflow_runner),Warsaw,,sarah.hines@oomnitza-demo.com (sarah.hines@oomnitza-demo.com),,0,0,1018480,,,Desktop,1768608000,C001249223400,,Deployed,HP,HP 260 G3,HP 260 G3,,184.165.35.2,3F:0F:CF:D6:3A:FC,,Insight,1642377600,P0017480,369.99,1737072000,,,,Damaged,,,1,,,,1719867407,1,1,0,,,,,,,running,good,1722148777,1,,,,,,,,,C001249223400,USD,44343986,,1722769271,0,1722769271,sarah.hines@oomnitza-demo.com,0,REGISTERED,sarah.hines@oomnitza-demo.com,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AV & EPP Protected,,,,1,,,,,Active,314.91,0,,0,0,,,,,,,,,,42679
bf49bbeefa74467db0a27fb3414561d5,104,1584421262,1722769271,trent.seed@oomnitza-demo.com (trent.seed@oomnitza-demo.com),workflow_runner (workflow_runner),London,,,,0,0,1010986,,,Laptop,1754524800,C001249215906,,Inventory,Lenovo,Lenovo ThinkPad X270,Lenovo ThinkPad X270,,79.230.117.246,91:DF:9F:45:F6:06,,CDW,1628294400,P0009986,849.99,1722988800,,,,Good,,,1,,,,1719865398,1,1,0,,,,,,,running,good,1722148777,1,,,,,,,,,C001249215906,USD,18905140,,1722769271,0,1722769271,None,0,REGISTERED,None,,0,,,,,,,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Active,596.93,0,,0,0,,,,,,,,,,35185
b6a25ea2828042168d20503d65e48f95,113,1584422357,1722769270,trent.seed@oomnitza-demo.com (trent.seed@oomnitza-demo.com),workflow_runner (workflow_runner),Lincoln,Lincoln Stockroom,,,0,0,1013897,,,Laptop,1767398400,C001249218817,,Inventory,Lenovo,Lenovo ThinkPad X1,Lenovo ThinkPad X1,,203.8.106.228,CF:43:75:A7:65:DA,,SHI,1641168000,P0012897,1399.99,1735862400,,,,Good,,,1,,,,1719866855,1,1,0,,,,,,,running,good,1722148775,1,,,,,,,,,C001249218817,USD,50419929,,1722769270,0,1722769270,None,0,REGISTERED,None,,0,,,,,,,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Active,1173.69,0,,0,0,,,,,,,,,,38096
